srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.5,13743.0,149.171.126.2,32912.0,tcp,FIN,0.304219,424,8824,31,29,1,4,ftp-data,9756.128906,212715.1719,8,12,255,255,1214525522,1765256098,53,735,0,0,2590.400819,1991.723731,1424249984,1424249984,43.407429,27.615727,0.000562,0.000443,0.000119,0,0,,,,3,1,3,3,1,1,1,Benign,0
59.166.0.0,9133.0,149.171.126.6,5190.0,tcp,FIN,0.115077,2054,2478,31,29,6,6,-,136326.1094,165106.8438,22,24,255,255,961484580,961794017,93,103,0,0,426.43019,407.860483,1421933010,1421933010,5.463048,4.975739,0.000806,0.000627,0.000179,0,0,0.0,0.0,0.0,14,5,1,2,2,1,1,Benign,0
59.166.0.9,23207.0,149.171.126.0,53.0,udp,CON,0.001075,146,178,31,29,0,0,dns,543255.8125,662325.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421961056,1421961056,0.011,0.009,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,3,2,3,1,1,1,Benign,0
149.171.126.10,47439.0,175.45.176.0,53.0,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424258961,1424258961,0.003,0.0,0.0,0.0,0.0,0,0,,,,21,21,14,14,14,14,21,Benign,0
59.166.0.4,24418.0,149.171.126.9,5190.0,tcp,FIN,0.004084,1036,2262,31,29,4,4,-,1860920.75,4062683.75,12,12,255,255,3554070855,1408956656,86,189,0,0,17.370287,0.378789,1424235026,1424235026,0.340273,0.318636,0.000711,0.000576,0.000135,0,0,,,,5,8,5,3,1,1,1,Benign,0
59.166.0.1,35549.0,149.171.126.6,80.0,tcp,FIN,1.00679,1684,10168,31,29,3,5,http,12427.61621,76313.82813,14,18,255,255,3464835185,1320541149,120,565,1,3924,8765.962364,7676.338786,1421958284,1421958285,77.418849,59.188176,0.000748,0.000587,0.000161,0,0,1.0,0.0,0.0,2,2,4,3,1,1,1,Benign,0
59.166.0.2,34435.0,149.171.126.5,80.0,tcp,FIN,1.079044,1580,10168,31,29,3,5,http,10742.84277,71203.77344,12,18,255,255,3309417378,3310427185,132,565,1,3924,10075.77606,8114.258345,1421969683,1421969684,98.062366,63.442591,0.000656,0.000516,0.00014,0,0,1.0,0.0,0.0,4,4,3,2,2,1,1,Benign,0
59.166.0.0,16571.0,149.171.126.2,80.0,tcp,FIN,1.450098,1684,10168,31,29,3,5,http,8628.381836,52984.00391,14,18,255,255,615889579,631357055,120,565,1,3924,10204.00508,8932.607853,1421959145,1421959146,111.519079,85.266824,0.000729,0.000553,0.000176,0,0,1.0,0.0,0.0,4,3,3,1,1,1,1,Benign,0
59.166.0.4,29576.0,149.171.126.2,63806.0,tcp,FIN,0.008908,424,8824,31,29,1,4,ftp-data,333183.6563,7264481.5,8,12,255,255,2662690315,519959107,53,735,0,0,89.312784,46.801316,1424227236,1424227236,1.227857,0.767364,0.000574,0.000461,0.000113,0,0,,,,3,3,5,6,1,1,4,Benign,0
59.166.0.8,41150.0,149.171.126.2,4986.0,tcp,FIN,0.134116,2974,32400,31,29,7,18,-,173760.0313,1894002.25,48,50,255,255,3031242712,882266001,62,648,0,0,211.088461,202.850438,1424254829,1424254829,2.80766,2.71302,0.001343,0.00117,0.000173,0,0,,,,6,1,2,4,1,1,1,Benign,0
59.166.0.6,3282.0,149.171.126.6,48156.0,tcp,FIN,0.02018,2974,32400,31,29,7,18,-,1154806.75,12587512.0,48,50,255,255,3833298971,3829467369,62,648,0,0,25.054599,23.608804,1424254734,1424254734,0.430283,0.409812,0.000621,0.0005,0.000121,0,0,,,,3,9,5,3,1,1,1,Benign,0
59.166.0.6,30681.0,149.171.126.7,28752.0,tcp,FIN,0.014864,2438,19242,31,29,7,13,-,1277718.0,10097417.0,38,40,255,255,4246335905,4259780272,64,481,0,0,0.0,21.534755,1424237164,1424237164,0.404333,0.367872,0.000637,0.000514,0.000123,0,0,,,,4,12,3,3,1,1,2,Benign,0
59.166.0.1,29955.0,149.171.126.1,25428.0,udp,CON,0.001797,520,304,31,29,0,0,-,1736227.125,1015025.063,4,4,0,0,0,0,130,76,0,0,0.636162,0.334467,1421967791,1421967791,0.455333,0.242,0.0,0.0,0.0,0,0,0.0,0.0,0.0,6,11,3,3,1,1,3,Benign,0
59.166.0.9,43997.0,149.171.126.2,6881.0,tcp,FIN,0.019191,1540,1644,31,29,4,4,-,601948.8125,647386.75,16,18,255,255,3500577431,1356136921,96,91,0,0,77.027976,2.186691,1421969565,1421969565,1.2582,1.100353,0.000612,0.000481,0.000131,0,0,0.0,0.0,0.0,9,19,9,12,6,1,7,Benign,0
59.166.0.4,61218.0,149.171.126.5,19840.0,udp,CON,0.001692,536,304,31,29,0,0,-,1900709.25,1078014.25,4,4,0,0,0,0,134,76,0,0,0.592555,0.300999,1424245180,1424245180,0.424,0.217333,0.0,0.0,0.0,0,0,,,,5,3,1,2,1,1,2,Benign,0
59.166.0.6,52912.0,149.171.126.9,31573.0,tcp,FIN,0.188847,4862,77276,31,29,7,36,-,203551.0156,3235550.5,84,86,255,255,1215921304,1247465743,58,899,0,0,156.037688,154.647533,1424228948,1424228948,2.271578,2.241774,0.000659,0.000535,0.000124,0,0,,,,11,10,3,2,1,1,2,Benign,0
59.166.0.8,24493.0,149.171.126.0,23107.0,tcp,FIN,0.090057,3614,47158,31,29,7,24,-,315711.1563,4121656.25,60,62,255,255,782586925,782893112,60,761,0,0,85.485112,83.423745,1421969367,1421969368,1.520644,1.466098,0.000758,0.000614,0.000144,0,0,0.0,0.0,0.0,19,11,2,11,1,1,1,Benign,0
59.166.0.1,4950.0,149.171.126.7,6881.0,tcp,CON,6.496869,14354,576716,31,29,23,204,-,17604.78711,708593.625,250,457,255,255,3293220312,1174197981,57,1262,0,0,8607.15957,6354.254856,1421943702,1421943708,26.091844,14.245939,0.000682,0.00055,0.000132,0,0,0.0,0.0,0.0,7,7,2,4,1,1,1,Benign,0
59.166.0.7,35950.0,149.171.126.1,16398.0,tcp,FIN,0.004346,528,8824,31,29,1,4,ftp-data,876208.0,14890014.0,10,12,255,255,172014428,2324364212,53,735,0,0,34.100271,20.237442,1424261471,1424261471,0.448222,0.352545,0.000592,0.000465,0.000127,0,0,,,,3,3,8,7,1,1,6,Benign,0
59.166.0.6,2615.0,149.171.126.6,5190.0,tcp,FIN,0.008324,1920,4312,31,29,6,6,-,1761653.0,3972128.75,22,24,255,255,3701964163,3702178906,87,180,0,0,29.032676,20.49587,1421967135,1421967135,0.3989,0.342261,0.000566,0.000445,0.000121,0,0,0.0,0.0,0.0,1,8,3,3,1,1,1,Benign,0
59.166.0.7,14975.0,149.171.126.3,53.0,udp,CON,0.001062,146,178,31,29,0,0,dns,549905.8125,670433.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424246745,1424246745,0.009,0.007,0.0,0.0,0.0,0,0,,,,2,5,5,4,2,1,2,Benign,0
59.166.0.8,47995.0,149.171.126.0,6881.0,tcp,FIN,4.407499,22424,964570,31,29,34,344,-,40599.89844,1748471.0,398,758,255,255,1028719183,3182945943,56,1273,0,0,4803.103761,3468.540031,1424233390,1424233394,11.185754,5.837152,0.000556,0.000447,0.000109,0,0,,,,8,8,3,1,1,1,4,Benign,0
59.166.0.2,7640.0,149.171.126.8,5701.0,tcp,FIN,0.011219,2542,21294,31,29,7,14,-,1767715.375,14822711.0,40,42,255,255,393877434,400193671,64,507,0,0,0.0,14.580108,1421953779,1421953779,0.278744,0.260122,0.000701,0.00055,0.000151,0,0,0.0,0.0,0.0,5,9,2,5,1,1,1,Benign,0
59.166.0.2,9954.0,149.171.126.4,53.0,udp,CON,0.001091,146,178,31,29,0,0,dns,535288.6875,652612.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424246889,1424246889,0.001,0.007,0.0,0.0,0.0,0,0,,,,2,4,2,1,1,1,2,Benign,0
59.166.0.1,50636.0,149.171.126.7,62578.0,tcp,FIN,0.069016,3598,46456,31,29,7,24,-,410223.7188,5298133.5,60,62,255,255,443510078,443836665,60,749,0,0,79.359201,78.901716,1421971758,1421971758,1.164153,1.121705,0.000724,0.000581,0.000143,0,0,0.0,0.0,0.0,14,2,3,3,1,1,2,Benign,0
59.166.0.4,46493.0,149.171.126.4,33268.0,tcp,FIN,0.020962,2958,32648,31,29,7,18,-,1105619.75,12211049.0,48,50,255,255,1721336718,3876627003,62,653,0,0,25.851635,24.852045,1421965811,1421965811,0.439085,0.415245,0.000757,0.000604,0.000153,0,0,0.0,0.0,0.0,4,10,1,2,1,1,1,Benign,0
59.166.0.9,9785.0,149.171.126.9,53.0,udp,CON,0.001051,146,178,31,29,0,0,dns,555661.3125,677450.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424229761,1424229761,0.005,0.007,0.0,0.0,0.0,0,0,,,,4,4,2,4,3,1,1,Benign,0
175.45.176.2,13146.0,149.171.126.10,25.0,tcp,FIN,0.802484,18687,1760,62,252,13,7,smtp,180479.6094,16718.0918,32,21,255,255,1646048293,4156302221,584,84,0,0,1519.317386,42.497824,1421929249,1421929250,25.88658,39.730949,0.054252,0.007149,0.047103,0,1,0.0,0.0,0.0,1,1,1,1,1,1,1,Exploits,1
149.171.126.12,47439.0,175.45.176.0,53.0,udp,INT,1e-05,264,0,60,0,0,0,dns,105600000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424223489,1424223489,0.01,0.0,0.0,0.0,0.0,0,0,,,,26,26,9,9,9,5,26,Benign,0
149.171.126.15,1043.0,175.45.176.3,53.0,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424246176,1424246176,0.002,0.0,0.0,0.0,0.0,0,0,,,,31,31,24,24,24,14,31,Benign,0
59.166.0.2,37366.0,149.171.126.2,35229.0,tcp,FIN,0.018581,2854,31142,31,29,7,17,-,1202088.25,13129111.0,46,48,255,255,1241888777,3409151277,62,649,0,0,25.54622,25.51395,1424243934,1424243934,0.414477,0.38466,0.000615,0.000499,0.000116,0,0,,,,10,5,2,3,1,1,5,Benign,0
59.166.0.6,10747.0,149.171.126.7,6881.0,tcp,FIN,0.013429,1540,1644,31,29,4,4,-,860227.875,925161.9375,16,18,255,255,2649203776,2652184899,96,91,0,0,61.121762,1.411485,1424240701,1424240701,0.874333,0.763353,0.000566,0.00045,0.000116,0,0,,,,9,6,5,6,5,1,5,Benign,0
59.166.0.5,50253.0,149.171.126.1,53.0,udp,CON,0.001112,146,178,31,29,0,0,dns,525179.875,640287.8125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424222440,1424222440,0.01,0.002,0.0,0.0,0.0,0,0,,,,3,5,1,7,1,1,1,Benign,0
59.166.0.7,45994.0,149.171.126.2,6155.0,tcp,FIN,0.337768,5486,92132,31,29,7,42,-,128585.3047,2159873.0,96,98,255,255,665065818,721325002,57,940,0,0,210.876711,208.430187,1421957323,1421957324,3.540695,3.477134,0.000617,0.000482,0.000135,0,0,0.0,0.0,0.0,8,6,6,4,1,1,1,Benign,0
59.166.0.6,22823.0,149.171.126.0,21581.0,tcp,FIN,0.257205,4824,2768,31,29,7,7,-,143791.9063,82517.83594,24,24,255,255,2485605284,2484502832,201,115,0,0,829.850669,23.60582,1424249216,1424249216,11.169305,11.159261,0.000667,0.000538,0.000129,0,0,,,,3,5,4,6,1,1,3,Benign,0
59.166.0.9,62815.0,149.171.126.5,80.0,tcp,FIN,1.007412,1580,10168,31,29,3,5,http,11506.71289,76266.71094,12,18,255,255,3187327818,1038786188,132,565,1,0,9538.412702,7684.352232,1421947513,1421947514,91.545456,59.228647,0.000667,0.000521,0.000146,0,0,1.0,0.0,0.0,1,1,2,1,1,1,1,Benign,0
59.166.0.6,56866.0,149.171.126.7,61698.0,tcp,FIN,0.016053,2766,28348,31,29,7,16,-,1347536.25,13820220.0,44,46,255,255,4057392374,1912283924,63,616,0,0,20.940726,19.923687,1421942429,1421942429,0.364488,0.343133,0.00076,0.000604,0.000156,0,0,0.0,0.0,0.0,10,10,5,2,1,1,1,Benign,0
59.166.0.1,2854.0,149.171.126.8,33358.0,tcp,FIN,0.017805,2542,21874,31,29,7,14,-,1113844.375,9594608.0,40,42,255,255,1777632555,1791532169,64,521,0,0,0.0,28.537075,1424241909,1424241909,0.448692,0.422098,0.000601,0.000494,0.000107,0,0,,,,2,7,3,2,1,1,2,Benign,0
59.166.0.5,43514.0,149.171.126.7,53.0,udp,CON,0.001036,146,178,31,29,0,0,dns,563706.5625,687258.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424240849,1424240849,0.008,0.009,0.0,0.0,0.0,0,0,,,,1,5,1,1,1,1,4,Benign,0
149.171.126.14,1043.0,175.45.176.1,53.0,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424253703,1424253703,0.003,0.0,0.0,0.0,0.0,0,0,,,,37,37,35,35,35,18,37,Benign,0
59.166.0.6,30024.0,149.171.126.9,53.0,udp,CON,0.001074,146,178,31,29,0,0,dns,543761.625,662942.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421953722,1421953722,0.011,0.008,0.0,0.0,0.0,0,0,0.0,0.0,0.0,2,1,4,6,1,1,3,Benign,0
149.171.126.18,47439.0,175.45.176.3,53.0,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424233108,1424233108,0.002,0.0,0.0,0.0,0.0,0,0,,,,44,44,23,23,23,23,44,Benign,0
59.166.0.6,47693.0,149.171.126.1,53.0,udp,CON,0.001052,130,162,31,29,0,0,dns,494296.5938,615969.625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424241057,1424241057,0.009,0.007,0.0,0.0,0.0,0,0,,,,3,3,2,6,3,2,3,Benign,0
59.166.0.1,5813.0,149.171.126.8,53.0,udp,CON,0.001243,146,178,31,29,0,0,dns,469831.0313,572807.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424229060,1424229060,0.008,0.007,0.0,0.0,0.0,0,0,,,,1,1,1,2,1,1,1,Benign,0
59.166.0.9,37099.0,149.171.126.5,53.0,udp,CON,0.001048,130,162,31,29,0,0,dns,496183.2188,618320.625,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421951302,1421951302,0.007,0.001,0.0,0.0,0.0,0,0,0.0,0.0,0.0,4,1,2,2,1,1,1,Benign,0
59.166.0.9,64242.0,149.171.126.0,80.0,tcp,FIN,1.14616,1468,10056,31,29,1,4,-,9227.333008,65805.82031,10,16,255,255,875380772,3043899018,147,629,0,0,310.484688,8230.647702,1421934410,1421934411,127.311891,76.33207,0.0,0.0,0.0,0,0,0.0,0.0,0.0,15,12,1,3,1,1,1,Benign,0
59.166.0.4,59850.0,149.171.126.7,64469.0,tcp,FIN,0.015062,2766,25812,31,29,7,16,-,1436197.125,13411765.0,44,46,255,255,2061748335,2062081480,63,561,0,0,19.43779,17.973883,1421943467,1421943467,0.341977,0.316756,0.000953,0.000797,0.000156,0,0,0.0,0.0,0.0,2,5,2,2,1,1,1,Benign,0
59.166.0.2,59257.0,149.171.126.7,111.0,udp,CON,0.004764,568,304,31,29,0,0,-,715365.25,382871.5313,4,4,0,0,0,0,142,76,0,0,1.780497,1.555636,1424229745,1424229745,1.265,1.105,0.0,0.0,0.0,0,0,,,,8,9,9,5,1,1,3,Benign,0
59.166.0.3,32550.0,149.171.126.3,143.0,tcp,FIN,0.797771,7814,15098,31,29,30,32,-,77716.53906,150208.5156,122,126,255,255,3422615782,3423696982,64,120,0,0,435.875638,432.171793,1421939192,1421939193,6.590116,6.378416,0.000593,0.000465,0.000128,0,0,0.0,0.0,0.0,4,3,6,3,1,1,2,Benign,0
149.171.126.18,47439.0,175.45.176.1,53.0,udp,INT,3e-06,264,0,60,0,0,0,dns,352000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424238098,1424238098,0.003,0.0,0.0,0.0,0.0,0,0,,,,27,27,27,27,27,13,27,Benign,0
149.171.126.14,1043.0,175.45.176.1,53.0,udp,INT,9e-06,264,0,60,0,0,0,dns,117333328.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424254305,1424254305,0.009,0.0,0.0,0.0,0.0,0,0,,,,23,23,23,23,23,23,23,Benign,0
59.166.0.5,51461.0,149.171.126.9,25.0,tcp,FIN,0.492887,37812,3276,31,29,19,8,smtp,602361.1875,51857.73047,54,40,255,255,2310172370,2306956789,700,82,0,0,984.055012,34.579242,1421957985,1421957985,9.293151,12.624692,0.000686,0.00052,0.000166,0,0,0.0,0.0,0.0,1,1,1,3,1,1,1,Benign,0
149.171.126.18,1043.0,175.45.176.1,53.0,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424239077,1424239077,0.008,0.0,0.0,0.0,0.0,0,0,,,,15,15,11,11,11,11,15,Benign,0
149.171.126.14,47439.0,175.45.176.1,53.0,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424255112,1424255112,0.002,0.0,0.0,0.0,0.0,0,0,,,,22,22,13,13,13,7,22,Benign,0
